Municipios;Sexo;Periodo;Total
39 Cantabria;Total;2023;588419
39 Cantabria;Total;2022;585402
39 Cantabria;Total;2021;584507
39 Cantabria;Total;2020;582905
39 Cantabria;Total;2019;581078
39 Cantabria;Total;2018;580229
39 Cantabria;Total;2017;580295
39 Cantabria;Total;2016;582206
39 Cantabria;Total;2015;585179
39 Cantabria;Total;2014;588656
39 Cantabria;Total;2013;591888
39 Cantabria;Total;2012;593861
39 Cantabria;Total;2011;593121
39 Cantabria;Total;2010;592250
39 Cantabria;Total;2009;589235
39 Cantabria;Total;2008;582138
39 Cantabria;Total;2007;572824
39 Cantabria;Total;2006;568091
39 Cantabria;Total;2005;562309
39 Cantabria;Total;2004;554784
39 Cantabria;Total;2003;549690
39 Cantabria;Total;2002;542275
39 Cantabria;Total;2001;537606
39 Cantabria;Total;2000;531159
39 Cantabria;Total;1999;528478
39 Cantabria;Total;1998;527137
39 Cantabria;Total;1997;""
39 Cantabria;Total;1996;527437
39 Cantabria;Hombres;2023;284880
39 Cantabria;Hombres;2022;283718
39 Cantabria;Hombres;2021;283378
39 Cantabria;Hombres;2020;282559
39 Cantabria;Hombres;2019;281801
39 Cantabria;Hombres;2018;281564
39 Cantabria;Hombres;2017;281808
39 Cantabria;Hombres;2016;282988
39 Cantabria;Hombres;2015;284788
39 Cantabria;Hombres;2014;286782
39 Cantabria;Hombres;2013;288643
39 Cantabria;Hombres;2012;289999
39 Cantabria;Hombres;2011;289872
39 Cantabria;Hombres;2010;289931
39 Cantabria;Hombres;2009;288735
39 Cantabria;Hombres;2008;285469
39 Cantabria;Hombres;2007;280283
39 Cantabria;Hombres;2006;277869
39 Cantabria;Hombres;2005;274797
39 Cantabria;Hombres;2004;270907
39 Cantabria;Hombres;2003;268309
39 Cantabria;Hombres;2002;264492
39 Cantabria;Hombres;2001;261967
39 Cantabria;Hombres;2000;258682
39 Cantabria;Hombres;1999;257495
39 Cantabria;Hombres;1998;256766
39 Cantabria;Hombres;1997;""
39 Cantabria;Hombres;1996;256946
39 Cantabria;Mujeres;2023;303539
39 Cantabria;Mujeres;2022;301684
39 Cantabria;Mujeres;2021;301129
39 Cantabria;Mujeres;2020;300346
39 Cantabria;Mujeres;2019;299277
39 Cantabria;Mujeres;2018;298665
39 Cantabria;Mujeres;2017;298487
39 Cantabria;Mujeres;2016;299218
39 Cantabria;Mujeres;2015;300391
39 Cantabria;Mujeres;2014;301874
39 Cantabria;Mujeres;2013;303245
39 Cantabria;Mujeres;2012;303862
39 Cantabria;Mujeres;2011;303249
39 Cantabria;Mujeres;2010;302319
39 Cantabria;Mujeres;2009;300500
39 Cantabria;Mujeres;2008;296669
39 Cantabria;Mujeres;2007;292541
39 Cantabria;Mujeres;2006;290222
39 Cantabria;Mujeres;2005;287512
39 Cantabria;Mujeres;2004;283877
39 Cantabria;Mujeres;2003;281381
39 Cantabria;Mujeres;2002;277783
39 Cantabria;Mujeres;2001;275639
39 Cantabria;Mujeres;2000;272477
39 Cantabria;Mujeres;1999;270983
39 Cantabria;Mujeres;1998;270371
39 Cantabria;Mujeres;1997;""
39 Cantabria;Mujeres;1996;270491
39001 Alfoz de Lloredo;Total;2023;2471
39001 Alfoz de Lloredo;Total;2022;2466
39001 Alfoz de Lloredo;Total;2021;2437
39001 Alfoz de Lloredo;Total;2020;2394
39001 Alfoz de Lloredo;Total;2019;2416
39001 Alfoz de Lloredo;Total;2018;2408
39001 Alfoz de Lloredo;Total;2017;2446
39001 Alfoz de Lloredo;Total;2016;2466
39001 Alfoz de Lloredo;Total;2015;2485
39001 Alfoz de Lloredo;Total;2014;2499
39001 Alfoz de Lloredo;Total;2013;2530
39001 Alfoz de Lloredo;Total;2012;2514
39001 Alfoz de Lloredo;Total;2011;2484
39001 Alfoz de Lloredo;Total;2010;2493
39001 Alfoz de Lloredo;Total;2009;2496
39001 Alfoz de Lloredo;Total;2008;2502
39001 Alfoz de Lloredo;Total;2007;2529
39001 Alfoz de Lloredo;Total;2006;2560
39001 Alfoz de Lloredo;Total;2005;2600
39001 Alfoz de Lloredo;Total;2004;2590
39001 Alfoz de Lloredo;Total;2003;2583
39001 Alfoz de Lloredo;Total;2002;2593
39001 Alfoz de Lloredo;Total;2001;2590
39001 Alfoz de Lloredo;Total;2000;2614
39001 Alfoz de Lloredo;Total;1999;2608
39001 Alfoz de Lloredo;Total;1998;2608
39001 Alfoz de Lloredo;Total;1997;""
39001 Alfoz de Lloredo;Total;1996;2646
39001 Alfoz de Lloredo;Hombres;2023;1276
39001 Alfoz de Lloredo;Hombres;2022;1284
39001 Alfoz de Lloredo;Hombres;2021;1263
39001 Alfoz de Lloredo;Hombres;2020;1238
